sku,hd_url,hd_price,wayfair url,wayfair price,menards url,menard price,overstock url,overstock price,houzz url,houzz price
LSAZ083-096,http://www.homedepot.com/p/ANZZI-Sonata-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Light-Green-with-Enti-Faucet-in-Polished-Chrome-LSAZ083-096/206951494,$186.00,https://www.wayfair.com/show_detail.php?sku=ANZI1591,$186.00,http://www.menards.com/main/p-1482823193784.html,$186.00,https://www.overstock.com/Home-Garden/ANZZI-Sonata-Series-Lustrous-Light-Green-Deco-Glass-Vessel-Sink-with-Enti-Polished-Chrome-Faucet/13750498/product.html?keywords=20407002&searchtype=Header,$186.00,http://www.houzz.com/viewSpace/78602897/lid=61454744,$137.78
LSAZ051-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79545869/lid=62169274,$154.81
LSAZ052-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79545888/lid=62169294,$148.15
LSAZ052-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79545910/lid=62169313,$148.15
LSAZ053-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559574/lid=62181814,$159.26
FR-AZ074,http://www.homedepot.com/p/ANZZI-Fawn-Series-2-Handle-Deck-Mount-Roman-Tub-Faucet-with-Handheld-Sprayer-in-Polished-Chrome-FR-AZ074/206730271,$309.00,https://www.wayfair.com/show_detail.php?sku=ANZI1103,$309.00,http://www.menards.com/main/p-1482823192906.html,$309.00,,,http://www.houzz.com/viewSpace/78598539/lid=61451501,$228.89
LSAZ053-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559602/lid=62181835,$159.26
LSAZ053-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559625/lid=62181853,$159.26
LSAZ054-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559670/lid=62181882,$162.22
LSAZ079-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560777/lid=62183001,$154.81
LSAZ055-022,http://www.homedepot.com/p/ANZZI-Spirito-Series-Deco-Glass-Vessel-Sink-in-Churning-Silver-with-Crown-Faucet-in-Chrome-LSAZ055-022/206951766,$219.00,https://www.wayfair.com/show_detail.php?sku=ANZI1385,$219.00,http://www.menards.com/main/p-1482823193674.html,$219.00,https://www.overstock.com/Home-Garden/Anzzi-Spirito-Series-Deco-glass-Vessel-Sink-in-Churning-Silver-with-Crown-Faucet-in-Chrome/13750397/product.html?keywords=20406876&searchtype=Header,$219.00,http://www.houzz.com/viewSpace/78602404/lid=61454383,$162.22
LSAZ054-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559690/lid=62181899,$158.52
LSAZ054-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559701/lid=62181906,$162.96
LSAZ055-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559715/lid=62181921,$143.70
LSAZ079-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560803/lid=62183027,$154.81
LSAZ055-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559734/lid=62181936,$143.70
LSAZ055-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559758/lid=62181959,$162.22
LSAZ083-095,http://www.homedepot.com/p/ANZZI-Sonata-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Light-Green-with-Harmony-Faucet-in-Polished-Chrome-LSAZ083-095/206951474,$186.00,https://www.wayfair.com/show_detail.php?sku=ANZI1590,$186.00,http://www.menards.com/main/p-1482823193803.html,$186.00,https://www.overstock.com/Home-Garden/ANZZI-Sonata-Series-Lustrous-Light-Green-Deco-Glass-Vessel-Sink-with-Harmony-Polished-Chrome-Faucet/13777468/product.html?keywords=20430017&searchtype=Header,$186.00,http://www.houzz.com/viewSpace/78602903/lid=61454750,$137.78
LSAZ055-095B,http://www.homedepot.com/p/Spirito-Series-Deco-Glass-Vessel-Sink-in-Churning-Silver-with-Harmony-Faucet-in-Brushed-Nickel-LSAZ055-095B/206951460,$204.00,https://www.wayfair.com/show_detail.php?sku=ANZI1410,$204.00,http://www.menards.com/main/p-1482823193694.html,$204.00,https://www.overstock.com/Home-Garden/Anzzi-Spirito-Series-Deco-glass-Vessel-Sink-in-Churning-Silver-with-Harmony-Faucet-in-Brushed-Nickel/13750400/product.html?keywords=20406879&searchtype=Header,$204.00,http://www.houzz.com/viewSpace/78602422/lid=61454394,$151.11
LSAZ056-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559798/lid=62182001,$154.81
LSAZ056-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559837/lid=62182039,$154.81
LSAZ056-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79559858/lid=62182064,$154.81
LSAZ052-040,http://www.homedepot.com/p/ANZZI-Mesto-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Gold-with-Fann-Faucet-in-Polished-Chrome-LSAZ052-040/206951817,$224.00,https://www.wayfair.com/show_detail.php?sku=ANZI1347,$224.00,http://www.menards.com/main/p-1482823193669.html,$194.00,https://www.overstock.com/Home-Garden/ANZZI-Mesto-Series-Lustrous-Translucent-Gold-Deco-Glass-Vessel-Sink-with-Fann-Polished-Chrome-Faucet/13777467/product.html?keywords=20430016&searchtype=Header,$194.00,http://www.houzz.com/viewSpace/78602908/lid=61454753,$143.70
LSAZ059-022,http://www.homedepot.com/p/ANZZI-Ritmo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Red-with-Crown-Faucet-in-Chrome-LSAZ059-022/206951793,$219.00,https://www.wayfair.com/show_detail.php?sku=ANZI1067,$219.00,http://www.menards.com/main/p-1482823193722.html,$219.00,https://www.overstock.com/Home-Garden/ANZZI-Ritmo-Series-Lustrous-Translucent-Red-Deco-Glass-Vessel-Sink-with-Crown-Chrome-Faucet/13777920/product.html?keywords=20430409&searchtype=Header,$219.00,http://www.houzz.com/viewSpace/78601263/lid=61453573,$162.22
LSAZ058-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560008/lid=62182216,$154.81
LSAZ052-041,http://www.homedepot.com/p/ANZZI-Mesto-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Gold-with-Fann-Faucet-in-Chrome-LSAZ052-041/206951610,$194.00,https://www.wayfair.com/show_detail.php?sku=ANZI1347,$194.00,http://www.menards.com/main/p-1482823193662.html,$194.00,https://www.overstock.com/Home-Garden/ANZZI-Mesto-Series-Lustrous-Translucent-Gold-Deco-Glass-Vessel-Sink-with-Fann-Chrome-Faucet/13777466/product.html?keywords=20430015&searchtype=Header,$194.00,http://www.houzz.com/viewSpace/78602911/lid=61454754,$143.70
LSAZ059-095B-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560066/lid=62182273,$162.22
LSAZ059-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560116/lid=62182320,$154.81
